Method,Silhouette,Davies-Bouldin,ARI,Homogeneity,Completeness,V-Measure
K-Means,0.45994823920518635,0.8335949464754338,0.6201351808870379,0.659126501804901,0.659847677962776,0.659486892724918
GMM (Full),0.37416491866541235,1.0809331199064374,0.9038742317748124,0.8983263672602775,0.9010648908640206,0.8996935451597475
GMM (Diagonal),0.4134799013349928,0.9207788660437748,0.818005634903832,0.8112622641712257,0.8148309754121249,0.8130427037493443
GMM (Tied),0.39099804651304054,1.032932446071115,0.9037141640512019,0.8800572622440009,0.8801640906840562,0.8801106732223012
GMM (Spherical),0.45663380641237455,0.8322767767014572,0.6410058621782706,0.6728030057213786,0.6728846759701786,0.6728438383674809
