Gamma,ARI,Silhouette
0.1,0.5806070412667179,0.46284556062779025
0.5,0.5995816019019579,0.46044245075816886
1.0,0.6451422031981431,0.46297611543567124
2.0,0.5637510205230709,0.49486290250095627
5.0,0.5637510205230709,0.49486290250095627
