Method,Silhouette,Davies-Bouldin,ARI,Homogeneity,Completeness,V-Measure
Spectral (RBF),0.46297611543567124,0.8257164229908825,0.6451422031981431,0.682361654869134,0.6968194717150502,0.6895147833731529
Spectral (K-NN),0.4593010216876192,0.8223619792445142,0.6464871114465449,0.6737012016437367,0.6941307977303925,0.6837634340224015
K-Means,0.45994823920518635,0.8335949464754338,0.6201351808870379,0.659126501804901,0.659847677962776,0.659486892724918
Hierarchical,0.4466890410285909,0.8034665302876753,0.6153229932145449,0.6578818079976051,0.6940248415952218,0.6754701853436886
