Method,n_components,train_time,pred_time,latency_per_sample_ms,accuracy,variance_explained
Original,40,9.155470848083496,0.09543609619140625,0.009543609619140626,0.9311,
PCA-5,5,3.609692096710205,0.08538150787353516,0.008538150787353515,0.7936,0.38494235507752134
PCA-10,10,5.187358856201172,0.10213160514831543,0.010213160514831543,0.8633,0.6148513226613717
PCA-20,20,6.763343811035156,0.10914087295532227,0.010914087295532227,0.9123,0.8829922071973171
PCA-30,30,11.991398572921753,0.08656096458435059,0.00865609645843506,0.9538,0.9999999999999998
