Digit,Total Samples,Correctly Clustered,Accuracy
0,178,176,0.9887640449438202
1,182,107,0.5879120879120879
2,177,147,0.8305084745762712
3,183,156,0.8524590163934426
4,181,159,0.8784530386740331
5,182,137,0.7527472527472527
6,181,175,0.9668508287292817
7,179,169,0.9441340782122905
8,174,0,0.0
9,180,0,0.0
