Feature,PCA_Contribution,Original_Importance
Feature_22,0.023708184505441484,0.02184031087533818
Feature_1,0.022952400195435353,0.01960558570588064
Feature_23,0.02288336425118622,0.02346324543268466
Feature_40,0.022784365241491442,0.017829341478432046
Feature_43,0.022672697215127043,0.01948205324893927
Feature_12,0.02241098614962694,0.0120648751370658
Feature_7,0.022400765653365923,0.019574742312226525
Feature_19,0.022318833728336734,0.017655111285020245
Feature_2,0.02217399191198536,0.020283716906949304
Feature_17,0.022154821489129648,0.01976971533815261
Feature_16,0.022099922664521578,0.019054453459140263
Feature_42,0.022071407689462086,0.022496128853531683
Feature_11,0.02193777934138819,0.019063786903205388
Feature_37,0.02189221068702991,0.02204695723057952
Feature_5,0.021809156025438484,0.018332852375481705
Feature_44,0.02166470808374961,0.01788764642468743
Feature_9,0.021565006259425683,0.027801612825307555
Feature_15,0.02120645718990923,0.022084542770606338
Feature_49,0.021108092132236356,0.011703735866988772
Feature_47,0.020988831645193308,0.027294810510338236
Feature_4,0.020969493522519898,0.02194797875669401
Feature_8,0.0209256123773255,0.021584052524697146
Feature_14,0.020812563427400923,0.021702018135184374
Feature_25,0.02077941632103163,0.022689887853704356
Feature_6,0.02071470718660856,0.018101808448733655
Feature_27,0.020681214124146818,0.02516280200061621
Feature_10,0.02061479202548177,0.012131496135409058
Feature_46,0.020585123907098126,0.020565620904903294
Feature_28,0.020545332389842567,0.025616143644244815
Feature_48,0.020479831824655778,0.018501870661150676
Feature_35,0.020475275013688177,0.012334410256492234
Feature_39,0.01997948387051681,0.02726276763434702
Feature_0,0.0199370770385824,0.01901103237588136
Feature_24,0.019799974703723314,0.017316531401430545
Feature_21,0.019790481566151652,0.011907925728973241
Feature_18,0.0197163168238326,0.024489245518202925
Feature_36,0.019538618476696353,0.0206738889932666
Feature_13,0.019491657385493577,0.01802635545364995
Feature_30,0.019096271419758015,0.025219801854022398
Feature_20,0.016676336631397705,0.025803879848654575
Feature_26,0.016642817905807683,0.018921192300691468
Feature_38,0.016524038704732635,0.01889146214652828
Feature_33,0.01616522281380627,0.016054856318905904
Feature_31,0.015907108983101038,0.017394799586082844
Feature_34,0.015803576587775703,0.02333305936113179
Feature_32,0.015534641826332598,0.016543999886767313
Feature_45,0.015486855898101564,0.019098173502096513
Feature_29,0.015015442209036044,0.020895134363519127
Feature_41,0.01441683848522908,0.021256171932474956
Feature_3,0.014089894490644624,0.018226407530987233
