Feature,PCA_Contribution,Original_Importance
Feature_31,0.02645637889289808,0.017394799586082844
Feature_17,0.02572240961405683,0.01976971533815261
Feature_43,0.025566859097059358,0.01948205324893927
Feature_33,0.025165010605857616,0.016054856318905904
Feature_1,0.025077799925641037,0.01960558570588064
Feature_32,0.02495594087861749,0.016543999886767313
Feature_11,0.02487416602320074,0.019063786903205388
Feature_26,0.024742553352240862,0.018921192300691468
Feature_2,0.024584695887810176,0.020283716906949304
Feature_4,0.024491842910486297,0.02194797875669401
Feature_38,0.02403727032508235,0.01889146214652828
Feature_45,0.023884337825696034,0.019098173502096513
Feature_20,0.02365213741230906,0.025803879848654575
Feature_13,0.02306357437615317,0.01802635545364995
Feature_16,0.022884675129230127,0.019054453459140263
Feature_36,0.022442643189478164,0.0206738889932666
Feature_3,0.022315859773354936,0.018226407530987233
Feature_18,0.02186399883662987,0.024489245518202925
Feature_24,0.021834473555803806,0.017316531401430545
Feature_46,0.021823137101364482,0.020565620904903294
Feature_41,0.021806223497581205,0.021256171932474956
Feature_29,0.021804982286630286,0.020895134363519127
Feature_5,0.02133681078919787,0.018332852375481705
Feature_14,0.021217450605937608,0.021702018135184374
Feature_23,0.021153245274328655,0.02346324543268466
Feature_28,0.021009386918661437,0.025616143644244815
Feature_42,0.0210023163218291,0.022496128853531683
Feature_22,0.020411012725698747,0.02184031087533818
Feature_25,0.020354651444512265,0.022689887853704356
Feature_48,0.019983988615118672,0.018501870661150676
Feature_27,0.019937792402967097,0.02516280200061621
Feature_30,0.019678232122599296,0.025219801854022398
Feature_37,0.019661373518372213,0.02204695723057952
Feature_15,0.019475822613501694,0.022084542770606338
Feature_40,0.019421389914382758,0.017829341478432046
Feature_19,0.01925896485399744,0.017655111285020245
Feature_7,0.0191918038739387,0.019574742312226525
Feature_44,0.018857663417795826,0.01788764642468743
Feature_8,0.018779686901172016,0.021584052524697146
Feature_0,0.018760673563617634,0.01901103237588136
Feature_47,0.01842671901455896,0.027294810510338236
Feature_6,0.018426563420806497,0.018101808448733655
Feature_9,0.017605272493229025,0.027801612825307555
Feature_39,0.017469463436635625,0.02726276763434702
Feature_34,0.017424695195414442,0.02333305936113179
Feature_35,0.00727732632234122,0.012334410256492234
Feature_49,0.005921063800137361,0.011703735866988772
Feature_10,0.005842488829205909,0.012131496135409058
Feature_21,0.004546843007172889,0.011907925728973241
Feature_12,0.00451632810568686,0.0120648751370658
