Feature,PCA_Contribution,Original_Importance
Feature_33,0.03260373980891178,0.016054856318905904
Feature_31,0.03184322734253589,0.017394799586082844
Feature_20,0.03123413161122789,0.025803879848654575
Feature_32,0.030004637952460427,0.016543999886767313
Feature_29,0.02934094500010618,0.020895134363519127
Feature_26,0.028889771230925843,0.018921192300691468
Feature_41,0.028569548638198564,0.021256171932474956
Feature_3,0.0284986049793398,0.018226407530987233
Feature_38,0.02832349937611004,0.01889146214652828
Feature_5,0.025001335812743854,0.018332852375481705
Feature_1,0.024862344882319906,0.01960558570588064
Feature_30,0.024616328361705766,0.025219801854022398
Feature_17,0.02436683360286741,0.01976971533815261
Feature_4,0.02398274992496357,0.02194797875669401
Feature_45,0.023816005970424544,0.019098173502096513
Feature_24,0.022555586668739757,0.017316531401430545
Feature_28,0.022466799943126413,0.025616143644244815
Feature_43,0.021593727879492212,0.01948205324893927
Feature_6,0.02147748637997259,0.018101808448733655
Feature_34,0.021141094217916673,0.02333305936113179
Feature_22,0.021132887750501192,0.02184031087533818
Feature_13,0.020537385456303733,0.01802635545364995
Feature_18,0.020136730838429914,0.024489245518202925
Feature_0,0.02005614535301232,0.01901103237588136
Feature_2,0.019885612917059866,0.020283716906949304
Feature_11,0.019412626171419207,0.019063786903205388
Feature_44,0.019393298677331722,0.01788764642468743
Feature_25,0.018923063879215246,0.022689887853704356
Feature_23,0.01885257744045042,0.02346324543268466
Feature_19,0.01875102155054258,0.017655111285020245
Feature_15,0.018673572460174946,0.022084542770606338
Feature_7,0.018318509896174916,0.019574742312226525
Feature_16,0.018314845761531015,0.019054453459140263
Feature_9,0.018030118244882386,0.027801612825307555
Feature_27,0.017991926564978854,0.02516280200061621
Feature_36,0.01760608144957869,0.0206738889932666
Feature_46,0.017031250799754555,0.020565620904903294
Feature_42,0.016905428062003215,0.022496128853531683
Feature_8,0.016751277593240445,0.021584052524697146
Feature_14,0.01670701534357074,0.021702018135184374
Feature_48,0.016666828331273902,0.018501870661150676
Feature_47,0.016438242946561293,0.027294810510338236
Feature_40,0.016400842734703082,0.017829341478432046
Feature_39,0.014779200293371372,0.02726276763434702
Feature_37,0.014671037071502002,0.02204695723057952
Feature_10,0.006231590005320061,0.012131496135409058
Feature_35,0.005916710072035662,0.012334410256492234
Feature_49,0.004445443784105958,0.011703735866988772
Feature_12,0.0030112728557537788,0.0120648751370658
Feature_21,0.002839056111127759,0.011907925728973241
