method,n_components,accuracy,train_time,inference_time,inference_per_sample_ms,variance_explained
Original,50,0.763,0.9615664482116699,0.10627961158752441,0.10627961158752441,
PCA-5,5,0.348,0.4386000633239746,0.05915498733520508,0.05915498733520508,0.2694394641119392
PCA-10,10,0.462,0.5559597015380859,0.05943155288696289,0.05943155288696289,0.439977946852495
PCA-15,15,0.614,0.4928262233734131,0.05731344223022461,0.05731344223022461,0.5712366807942649
PCA-20,20,0.648,0.5566949844360352,0.08330488204956055,0.08330488204956055,0.6813287746068752
PCA-30,30,0.681,0.8095767498016357,0.10352587699890137,0.10352587699890137,0.8685237408440801
PCA-40,40,0.731,0.9222407341003418,0.09450459480285645,0.09450459480285645,1.0
