Feature,PCA_Contribution,Original_Importance
Feature_43,0.02664130319663846,0.01948205324893927
Feature_2,0.025550834835141478,0.020283716906949304
Feature_17,0.024398836897216527,0.01976971533815261
Feature_13,0.023978631276205614,0.01802635545364995
Feature_1,0.023623704635203482,0.01960558570588064
Feature_23,0.023475875092446277,0.02346324543268466
Feature_11,0.023291021430437497,0.019063786903205388
Feature_28,0.022563749835109476,0.025616143644244815
Feature_7,0.022403416540152463,0.019574742312226525
Feature_16,0.022299414316871817,0.019054453459140263
Feature_47,0.022230111068619232,0.027294810510338236
Feature_42,0.022182086472557292,0.022496128853531683
Feature_14,0.022136231443484727,0.021702018135184374
Feature_33,0.02159966219294301,0.016054856318905904
Feature_26,0.021403202590464347,0.018921192300691468
Feature_5,0.021364726695285587,0.018332852375481705
Feature_31,0.021335865783618964,0.017394799586082844
Feature_38,0.02130327050109089,0.01889146214652828
Feature_46,0.021288018306555072,0.020565620904903294
Feature_18,0.0210641443606592,0.024489245518202925
Feature_48,0.02103894543257425,0.018501870661150676
Feature_0,0.020956669209231782,0.01901103237588136
Feature_39,0.020935501422885163,0.02726276763434702
Feature_20,0.020885928868782783,0.025803879848654575
Feature_36,0.02072330062314002,0.0206738889932666
Feature_4,0.020603813478386267,0.02194797875669401
Feature_9,0.020524006043999163,0.027801612825307555
Feature_40,0.02043334415833747,0.017829341478432046
Feature_19,0.02038858292068123,0.017655111285020245
Feature_32,0.020358776228015768,0.016543999886767313
Feature_6,0.020248603841964665,0.018101808448733655
Feature_24,0.020159355359461003,0.017316531401430545
Feature_37,0.0200952247733814,0.02204695723057952
Feature_22,0.01990468558644835,0.02184031087533818
Feature_27,0.01943793893794395,0.02516280200061621
Feature_45,0.019420405183272486,0.019098173502096513
Feature_25,0.01925989958506458,0.022689887853704356
Feature_8,0.018883077910030507,0.021584052524697146
Feature_15,0.018464575082215946,0.022084542770606338
Feature_3,0.018118689144766484,0.018226407530987233
Feature_29,0.018062162544011984,0.020895134363519127
Feature_41,0.01783941764395424,0.021256171932474956
Feature_44,0.017678771497244904,0.01788764642468743
Feature_30,0.01696939348053583,0.025219801854022398
Feature_34,0.016693606653091476,0.02333305936113179
Feature_12,0.014588775094479093,0.0120648751370658
Feature_49,0.011719514381422802,0.011703735866988772
Feature_10,0.011634318236114665,0.012131496135409058
Feature_21,0.01106377324195923,0.011907925728973241
Feature_35,0.008774835965901054,0.012334410256492234
