Method,Silhouette Score,Davies-Bouldin Index
K-Means,0.34847138657014315,1.1474655776702944
Hierarchical (Ward),0.2670148241989557,0.9244718793329023
Hierarchical (Complete),0.7118632549933978,0.5213608733148084
Hierarchical (Average),0.7447340876802596,0.46836051238355386
