n_components,accuracy,precision,recall,variance_explained
30,0.9824561403508771,0.9824561403508771,0.9824561403508771,
2,0.9473684210526315,0.9474395448079658,0.9473684210526315,0.633581100677249
5,0.9473684210526315,0.9484620642515378,0.9473684210526315,0.8514384620342297
10,0.9736842105263158,0.9739686589549538,0.9736842105263158,0.9526768937417545
15,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9868409065192456
