Method,Clusters,ARI,Silhouette
DBSCAN,2,0.98666592688744,0.25033246623275585
K-Means,2,0.47896853094705444,0.4909962103863311
Hierarchical,2,0.7159166711530142,0.44846606660885013
Spectral,2,0.5167841808893775,0.49017413974077767
