Metric,PSO-Init,K-Means++,Random (avg)
Inertia,1279.9661527749454,1277.9284888446423,1294.6343596899994
Silhouette,0.2844212860533542,0.2848589191898987,0.27924530148427146
ARI,0.8803997758776985,0.8974949815093207,0.86446074373486
