m,FPC,ARI,Avg Uncertainty
1.5,0.8879266854330634,0.6201351808870379,0.07398903069445874
2.0,0.7064971357908019,0.6303393343888227,0.19483148863807004
2.5,0.5720351894261436,0.6303393343888227,0.30024863055260326
3.0,0.4899074177450471,0.6303393343888227,0.37676817204809704
