Feature_Group,Num_Features,Avg_Abs_Coefficient,Total_Abs_Coefficient
behavioral,6,0.26501271374006924,1.5900762824404155
academic,6,0.2458283869461119,1.4749703216766714
family_background,6,0.1573806721076932,0.9442840326461591
social,6,0.09210908040652514,0.5526544824391508
demographic,5,0.06958961990089843,0.3479480995044922
